Date : 2025-09-01 11:51:47
Directory : /home/omar/Documents/ruleIQ
Total : 2222 files,  904423 codes, 25590 comments, 90891 blanks, all 1020904 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/omar/Documents/ruleIQ/api/routers/admin/__init__.py                                                     | Python             |         17 |          2 |          7 |         26 |
| /home/omar/Documents/ruleIQ/api/routers/admin/data_access.py                                                  | Python             |        171 |          6 |         29 |        206 |
| /home/omar/Documents/ruleIQ/api/routers/admin/token_management.py                                             | Python             |        164 |          9 |         41 |        214 |
| /home/omar/Documents/ruleIQ/api/routers/admin/user_management.py                                              | Python             |        554 |         33 |         97 |        684 |
| /home/omar/Documents/ruleIQ/api/routers/agentic_rag.py                                                        | Python             |        194 |         10 |         31 |        235 |
| /home/omar/Documents/ruleIQ/api/routers/ai_assessments.py                                                     | Python             |      1,075 |        177 |        138 |      1,390 |
| /home/omar/Documents/ruleIQ/api/routers/ai_cost_monitoring.py                                                 | Python             |        568 |         16 |         82 |        666 |
| /home/omar/Documents/ruleIQ/api/routers/ai_cost_websocket.py                                                  | Python             |        505 |         35 |        132 |        672 |
| /home/omar/Documents/ruleIQ/api/routers/ai_optimization.py                                                    | Python             |        211 |         10 |         30 |        251 |
| /home/omar/Documents/ruleIQ/api/routers/ai_policy.py                                                          | Python             |        481 |         26 |         72 |        579 |
| /home/omar/Documents/ruleIQ/api/routers/api_keys.py                                                           | Python             |        385 |         10 |         73 |        468 |
| /home/omar/Documents/ruleIQ/api/routers/assessments.py                                                        | Python             |        279 |         10 |         35 |        324 |
| /home/omar/Documents/ruleIQ/api/routers/audit_export.py                                                       | Python             |        363 |         13 |         63 |        439 |
| /home/omar/Documents/ruleIQ/api/routers/auth.py                                                               | Python             |        368 |         37 |         66 |        471 |
| /home/omar/Documents/ruleIQ/api/routers/business_profiles.py                                                  | Python             |        465 |         42 |         58 |        565 |
| /home/omar/Documents/ruleIQ/api/routers/chat.py                                                               | Python             |      1,076 |        189 |        177 |      1,442 |
| /home/omar/Documents/ruleIQ/api/routers/complete_endpoint_inventory.md                                        | Markdown           |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/api/routers/complete_endpoint_inventory_detailed.md                               | Markdown           |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/api/routers/compliance.py                                                         | Python             |        422 |         33 |         47 |        502 |
| /home/omar/Documents/ruleIQ/api/routers/dashboard.py                                                          | Python             |        279 |          5 |         12 |        296 |
| /home/omar/Documents/ruleIQ/api/routers/endpoint_inventory_fact_checked.md                                    | Markdown           |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/api/routers/evidence.py                                                           | Python             |        946 |         75 |        146 |      1,167 |
| /home/omar/Documents/ruleIQ/api/routers/evidence_collection.py                                                | Python             |        321 |         25 |         43 |        389 |
| /home/omar/Documents/ruleIQ/api/routers/feedback.py                                                           | Python             |        408 |         24 |         82 |        514 |
| /home/omar/Documents/ruleIQ/api/routers/foundation_evidence.py                                                | Python             |        478 |         30 |         80 |        588 |
| /home/omar/Documents/ruleIQ/api/routers/frameworks.py                                                         | Python             |        285 |         16 |         32 |        333 |
| /home/omar/Documents/ruleIQ/api/routers/freemium.py                                                           | Python             |        526 |         45 |         89 |        660 |
| /home/omar/Documents/ruleIQ/api/routers/google_auth.py                                                        | Python             |        251 |         27 |         37 |        315 |
| /home/omar/Documents/ruleIQ/api/routers/implementation.py                                                     | Python             |        285 |          9 |         22 |        316 |
| /home/omar/Documents/ruleIQ/api/routers/integrations.py                                                       | Python             |        320 |         16 |         39 |        375 |
| /home/omar/Documents/ruleIQ/api/routers/iq_agent.py                                                           | Python             |        420 |         18 |         63 |        501 |
| /home/omar/Documents/ruleIQ/api/routers/monitoring.py                                                         | Python             |        179 |          8 |         12 |        199 |
| /home/omar/Documents/ruleIQ/api/routers/optimization.py                                                       | Python             |         38 |          1 |         10 |         49 |
| /home/omar/Documents/ruleIQ/api/routers/payment.py                                                            | Python             |        204 |          9 |         16 |        229 |
| /home/omar/Documents/ruleIQ/api/routers/performance_monitoring.py                                             | Python             |        366 |         10 |         76 |        452 |
| /home/omar/Documents/ruleIQ/api/routers/policies.py                                                           | Python             |        177 |          8 |         17 |        202 |
| /home/omar/Documents/ruleIQ/api/routers/rbac_auth.py                                                          | Python             |        337 |         11 |         55 |        403 |
| /home/omar/Documents/ruleIQ/api/routers/readiness.py                                                          | Python             |        336 |         16 |         29 |        381 |
| /home/omar/Documents/ruleIQ/api/routers/reports.py                                                            | Python             |        287 |         13 |         27 |        327 |
| /home/omar/Documents/ruleIQ/api/routers/secrets_vault.py                                                      | Python             |        235 |         14 |         43 |        292 |
| /home/omar/Documents/ruleIQ/api/routers/security.py                                                           | Python             |        184 |         10 |         31 |        225 |
| /home/omar/Documents/ruleIQ/api/routers/test_utils.py                                                         | Python             |        122 |         11 |         29 |        162 |
| /home/omar/Documents/ruleIQ/api/routers/uk_compliance.py                                                      | Python             |        266 |         11 |         39 |        316 |
| /home/omar/Documents/ruleIQ/api/routers/usage_dashboard.py                                                    | Python             |        186 |          6 |         32 |        224 |
| /home/omar/Documents/ruleIQ/api/routers/users.py                                                              | Python             |        110 |         14 |         11 |        135 |
| /home/omar/Documents/ruleIQ/api/routers/webhooks.py                                                           | Python             |        321 |         49 |         82 |        452 |
| /home/omar/Documents/ruleIQ/api/ruleiq_complete_collection.json                                               | JSON               |      2,384 |          0 |          0 |      2,384 |
| /home/omar/Documents/ruleIQ/api/ruleiq_comprehensive_fixed.json                                               | JSON               |        327 |          0 |          1 |        328 |
| /home/omar/Documents/ruleIQ/api/ruleiq_comprehensive_postman_collection.json                                  | JSON               |      4,774 |          0 |          0 |      4,774 |
| /home/omar/Documents/ruleIQ/api/ruleiq_comprehensive_postman_collection_fixed.json                            | JSON               |      3,379 |          0 |          0 |      3,379 |
| /home/omar/Documents/ruleIQ/api/ruleiq_comprehensive_postman_collection_fixed_debug.json                      | JSON               |      2,761 |          0 |          0 |      2,761 |
| /home/omar/Documents/ruleIQ/api/ruleiq_comprehensive_postman_collection_v2.json                               | JSON               |        790 |          0 |          0 |        790 |
| /home/omar/Documents/ruleIQ/api/ruleiq_comprehensive_postman_collection_v2_debug.json                         | JSON               |        782 |          0 |          0 |        782 |
| /home/omar/Documents/ruleIQ/api/ruleiq_comprehensive_test.json                                                | JSON               |        323 |          0 |          0 |        323 |
| /home/omar/Documents/ruleIQ/api/ruleiq_final_collection.json                                                  | JSON               |        376 |          0 |          0 |        376 |
| /home/omar/Documents/ruleIQ/api/ruleiq_fixed_collection.json                                                  | JSON               |        154 |          0 |          1 |        155 |
| /home/omar/Documents/ruleIQ/api/ruleiq_generated_collection.json                                              | JSON               |        120 |          0 |          0 |        120 |
| /home/omar/Documents/ruleIQ/api/ruleiq_postman_collection.json                                                | JSON               |      1,164 |          0 |          0 |      1,164 |
| /home/omar/Documents/ruleIQ/api/ruleiq_postman_collection_consolidated.json                                   | JSON               |      1,524 |          0 |          0 |      1,524 |
| /home/omar/Documents/ruleIQ/api/ruleiq_postman_collection_final.json                                          | JSON               |        987 |          0 |          0 |        987 |
| /home/omar/Documents/ruleIQ/api/ruleiq_postman_collection_with_doppler.json                                   | JSON               |        264 |          0 |          0 |        264 |
| /home/omar/Documents/ruleIQ/api/ruleiq_postman_environment.json                                               | JSON               |         75 |          0 |          0 |         75 |
| /home/omar/Documents/ruleIQ/api/ruleiq_working_collection_backup.json                                         | JSON               |      1,164 |          0 |          0 |      1,164 |
| /home/omar/Documents/ruleIQ/api/schemas/__init__.py                                                           | Python             |         27 |          0 |          4 |         31 |
| /home/omar/Documents/ruleIQ/api/schemas/ai_policy.py                                                          | Python             |        169 |          6 |         45 |        220 |
| /home/omar/Documents/ruleIQ/api/schemas/base.py                                                               | Python             |         57 |          0 |         37 |         94 |
| /home/omar/Documents/ruleIQ/api/schemas/chat.py                                                               | Python             |        267 |          4 |        114 |        385 |
| /home/omar/Documents/ruleIQ/api/schemas/compliance.py                                                         | Python             |        110 |          5 |         34 |        149 |
| /home/omar/Documents/ruleIQ/api/schemas/evidence_classification.py                                            | Python             |         83 |          0 |         27 |        110 |
| /home/omar/Documents/ruleIQ/api/schemas/evidence_collection.py                                                | Python             |         81 |          0 |         28 |        109 |
| /home/omar/Documents/ruleIQ/api/schemas/iq_agent.py                                                           | Python             |        266 |          1 |         37 |        304 |
| /home/omar/Documents/ruleIQ/api/schemas/models.py                                                             | Python             |        413 |         19 |        120 |        552 |
| /home/omar/Documents/ruleIQ/api/schemas/quality_analysis.py                                                   | Python             |        118 |          0 |         45 |        163 |
| /home/omar/Documents/ruleIQ/api/schemas/reporting.py                                                          | Python             |        152 |          4 |         46 |        202 |
| /home/omar/Documents/ruleIQ/api/test_results_final.json                                                       | JSON               |      4,208 |          0 |          0 |      4,208 |
| /home/omar/Documents/ruleIQ/api/test_session_metrics.json                                                     | JSON               |        228 |          0 |          0 |        228 |
| /home/omar/Documents/ruleIQ/api/test_user_payload.json                                                        | JSON               |          6 |          0 |          0 |          6 |
| /home/omar/Documents/ruleIQ/api/utils/circuit_breaker.py                                                      | Python             |        121 |          3 |         35 |        159 |
| /home/omar/Documents/ruleIQ/api/utils/error_handlers.py                                                       | Python             |        298 |          6 |         59 |        363 |
| /home/omar/Documents/ruleIQ/api/utils/input_validation.py                                                     | Python             |        186 |         13 |         71 |        270 |
| /home/omar/Documents/ruleIQ/api/utils/retry.py                                                                | Python             |        202 |         10 |         55 |        267 |
| /home/omar/Documents/ruleIQ/api/utils/validators.py                                                           | Python             |         65 |          3 |         21 |         89 |
| /home/omar/Documents/ruleIQ/api/validation_report_20250823_160906.json                                        | JSON               |        391 |          0 |          0 |        391 |
| /home/omar/Documents/ruleIQ/app/api/monitoring.py                                                             | Python             |        145 |         11 |         44 |        200 |
| /home/omar/Documents/ruleIQ/app/core/doppler_config.py                                                        | Python             |        220 |         10 |         59 |        289 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/__init__.py                                                   | Python             |         59 |          5 |          7 |         71 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/error_handler.py                                              | Python             |        240 |         11 |         59 |        310 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/health.py                                                     | Python             |        322 |          8 |         62 |        392 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/langgraph_metrics.py                                          | Python             |      2,399 |        131 |        531 |      3,061 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/logger.py                                                     | Python             |        182 |         17 |         56 |        255 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/metrics.py                                                    | Python             |        259 |         17 |         71 |        347 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/middleware.py                                                 | Python             |        192 |         35 |         60 |        287 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/opentelemetry_metrics.py                                      | Python             |        765 |         65 |        151 |        981 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/prometheus_exporter.py                                        | Python             |        860 |         65 |        243 |      1,168 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/sentry_integration.py                                         | Python             |        290 |         16 |         70 |        376 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/setup.py                                                      | Python             |        125 |         12 |         25 |        162 |
| /home/omar/Documents/ruleIQ/app/core/monitoring/shutdown.py                                                   | Python             |        161 |          8 |         45 |        214 |
| /home/omar/Documents/ruleIQ/archive/README.md                                                                 | Markdown           |        131 |          0 |         37 |        168 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/check_jwt_config.py                                     | Python             |         70 |         10 |         16 |         96 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/db_connection_test.py                                   | Python             |         26 |          2 |          9 |         37 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/debug_db.py                                             | Python             |         13 |          1 |          6 |         20 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/debug_jwt.py                                            | Python             |         77 |         15 |         23 |        115 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/diagnose_tests.py                                       | Python             |         21 |          2 |          4 |         27 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/direct_jwt_test.py                                      | Python             |         78 |         10 |         19 |        107 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/jwt_auth_debug_suite.py                                 | Python             |        132 |         12 |         26 |        170 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/jwt_secret_explanation.py                               | Python             |         19 |          2 |          4 |         25 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/jwt_test_server.py                                      | Python             |         65 |          2 |         24 |         91 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/run_chunked_tests.py                                    | Python             |        214 |         12 |         42 |        268 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/run_server_bypass.py                                    | Python             |         17 |          7 |          9 |         33 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/setup_local_test_db.py                                  | Python             |         88 |          5 |         12 |        105 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/simple_jwt_test.py                                      | Python             |         62 |          7 |         14 |         83 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_ai_optimization.py                                 | Python             |         95 |          7 |         32 |        134 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_basic.py                                           | Python             |          5 |          1 |          3 |          9 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_db_fixes.py                                        | Python             |         56 |         11 |         20 |         87 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_debug_pytest.py                                    | Python             |         45 |          4 |         15 |         64 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_fixtures.py                                        | Python             |          9 |          1 |          4 |         14 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_groups.py                                          | Python             |        218 |          7 |         37 |        262 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_integration_fixes.py                               | Python             |         91 |         12 |         37 |        140 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_phase5_implementation.py                           | Python             |        173 |         14 |         53 |        240 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_simple.py                                          | Python             |        101 |         15 |         28 |        144 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/test_single.py                                          | Python             |         15 |          0 |          3 |         18 |
| /home/omar/Documents/ruleIQ/archive/debugging_scripts/verify_jwt_fix.py                                       | Python             |        169 |         18 |         50 |        237 |
| /home/omar/Documents/ruleIQ/archive/demo_sprint_2.json                                                        | JSON               |         19 |          0 |          0 |         19 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/01-core/01-infrastructure-setup.md                  | Markdown           |        176 |          0 |         72 |        248 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/01-core/02-security-performance-setup.md            | Markdown           |        198 |          0 |         77 |        275 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/01-core/03-testing-guide.md                         | Markdown           |        239 |          0 |         69 |        308 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/02-technical/01-architecture-context.md             | Markdown           |        246 |          0 |         63 |        309 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/02-technical/02-database-context.md                 | Markdown           |        360 |          0 |         82 |        442 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/02-technical/03-frontend-context.md                 | Markdown           |        417 |          0 |         83 |        500 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/02-technical/04-api-context.md                      | Markdown           |        421 |          0 |         74 |        495 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/02-technical/05-ai-services-context.md              | Markdown           |        298 |          0 |         61 |        359 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/02-technical/06-design-tokens.md                    | Markdown           |        215 |          0 |         64 |        279 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/02-technical/07-ai-endpoints.md                     | Markdown           |        362 |          0 |         54 |        416 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/01-testing-overview.md                   | Markdown           |        326 |          0 |         84 |        410 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/02-e2e-testing.md                        | Markdown           |        121 |          0 |         51 |        172 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/03-e2e-setup-guide.md                    | Markdown           |        124 |          0 |         44 |        168 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/04-e2e-configuration.md                  | Markdown           |        159 |          0 |         63 |        222 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/05-e2e-fix-summary.md                    | Markdown           |        104 |          0 |         33 |        137 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/06-visual-testing-guide.md               | Markdown           |        264 |          0 |         79 |        343 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/07-accessibility-guide.md                | Markdown           |        252 |          0 |         57 |        309 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/08-memory-leak-guide.md                  | Markdown           |        275 |          0 |         69 |        344 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/09-test-status-summary.md                | Markdown           |        105 |          0 |         26 |        131 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/03-testing/10-quality-assurance.md                  | Markdown           |        159 |          0 |         32 |        191 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/04-context/01-project-status.md                     | Markdown           |        206 |          0 |         50 |        256 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/04-context/02-analysis-report.md                    | Markdown           |        237 |          0 |         66 |        303 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/04-context/03-change-log.md                         | Markdown           |        119 |          0 |         32 |        151 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/04-context/04-context-specification.md              | Markdown           |        264 |          0 |         65 |        329 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/04-context/05-serena-integration.md                 | Markdown           |        206 |          0 |         44 |        250 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/04-context/06-monitor-config.json                   | JSON               |        108 |          0 |          0 |        108 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/04-context/07-context-readme.md                     | Markdown           |        196 |          0 |         53 |        249 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/01-ai-checklist.md                    | Markdown           |        522 |          0 |        113 |        635 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/02-ai-context.md                      | Markdown           |        170 |          0 |         45 |        215 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/03-api-integration-architecture.md    | Markdown           |        965 |          0 |        181 |      1,146 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/04-audit-implementation-summary.md    | Markdown           |        132 |          0 |         35 |        167 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/05-critical-fixes-checklist.md        | Markdown           |        162 |          0 |         48 |        210 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/06-critical-fixes-setup.md            | Markdown           |        184 |          0 |         64 |        248 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/07-critical-optimizations.md          | Markdown           |        242 |          0 |         78 |        320 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/08-database-fixes-summary.md          | Markdown           |        182 |          0 |         69 |        251 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/09-foundation-implementation.md       | Markdown           |        259 |          0 |         77 |        336 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/10-handover.md                        | Markdown           |        301 |          0 |        116 |        417 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/11-mcp-integration-design.md          | Markdown           |        777 |          0 |        131 |        908 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/12-phase5-completion-report.md        | Markdown           |        200 |          0 |         53 |        253 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/13-serena-mcp-integration.md          | Markdown           |        117 |          0 |         36 |        153 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/14-test-fixes-handover.md             | Markdown           |        197 |          0 |         91 |        288 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/15-test-groups-summary.md             | Markdown           |        128 |          0 |         26 |        154 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/16-test-handover.md                   | Markdown           |        270 |          0 |        116 |        386 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/17-test-user-credentials.md           | Markdown           |         73 |          0 |         27 |        100 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/05-historical/18-final-39-test-failures.md          | Markdown           |        250 |          0 |         51 |        301 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/01-week1-implementation-summary.md | Markdown           |        170 |          0 |         46 |        216 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/02-test-fix-summary.md             | Markdown           |         84 |          0 |         24 |        108 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/03-test-fix-complete-summary.md    | Markdown           |         67 |          0 |         17 |         84 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/04-test-status-final.md            | Markdown           |         80 |          0 |         27 |        107 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/05-production-quick-reference.md   | Markdown           |        127 |          0 |         32 |        159 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/06-production-readiness-tasks.md   | Markdown           |        472 |          0 |        105 |        577 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/07-production-build-prompts.md     | Markdown           |        604 |          0 |        115 |        719 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/08-accessibility-audit-report.md   | Markdown           |        122 |          0 |         39 |        161 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/09-ai-test-fix-summary.md          | Markdown           |         67 |          0 |         15 |         82 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/06-final-reports/10-complete-documentation-index.md | Markdown           |        111 |          0 |         46 |        157 |
| /home/omar/Documents/ruleIQ/archive/documentation-library/README.md                                           | Markdown           |         92 |          0 |         30 |        122 |
| /home/omar/Documents/ruleIQ/archive/documentation/AI_CHECKLIST.md                                             | Markdown           |        522 |          0 |        113 |        635 |
| /home/omar/Documents/ruleIQ/archive/documentation/AI_CONTEXT.md                                               | Markdown           |        170 |          0 |         45 |        215 |
| /home/omar/Documents/ruleIQ/archive/documentation/API_INTEGRATION_ARCHITECTURE.md                             | Markdown           |        965 |          0 |        181 |      1,146 |
| /home/omar/Documents/ruleIQ/archive/documentation/AUDIT_IMPLEMENTATION_SUMMARY.md                             | Markdown           |        132 |          0 |         35 |        167 |
| /home/omar/Documents/ruleIQ/archive/documentation/CRITICAL_FIXES_CHECKLIST.md                                 | Markdown           |        162 |          0 |         48 |        210 |
| /home/omar/Documents/ruleIQ/archive/documentation/CRITICAL_FIXES_SETUP.md                                     | Markdown           |        184 |          0 |         64 |        248 |
| /home/omar/Documents/ruleIQ/archive/documentation/CRITICAL_OPTIMIZATIONS_IMPLEMENTED.md                       | Markdown           |        242 |          0 |         78 |        320 |
| /home/omar/Documents/ruleIQ/archive/documentation/DATABASE_FIXES_SUMMARY.md                                   | Markdown           |        182 |          0 |         69 |        251 |
| /home/omar/Documents/ruleIQ/archive/documentation/FOUNDATION_IMPLEMENTATION_SUMMARY.md                        | Markdown           |        259 |          0 |         77 |        336 |
| /home/omar/Documents/ruleIQ/archive/documentation/HANDOVER.md                                                 | Markdown           |        301 |          0 |        116 |        417 |
| /home/omar/Documents/ruleIQ/archive/documentation/MCP_INTEGRATION_DESIGN.md                                   | Markdown           |        777 |          0 |        131 |        908 |
| /home/omar/Documents/ruleIQ/archive/documentation/PHASE5_COMPLETION_REPORT.md                                 | Markdown           |        200 |          0 |         53 |        253 |
| /home/omar/Documents/ruleIQ/archive/documentation/SERENA_MCP_INTEGRATION.md                                   | Markdown           |        117 |          0 |         36 |        153 |
| /home/omar/Documents/ruleIQ/archive/documentation/TEST_FIXES_HANDOVER.md                                      | Markdown           |        197 |          0 |         91 |        288 |
| /home/omar/Documents/ruleIQ/archive/documentation/TEST_GROUPS_SUMMARY.md                                      | Markdown           |        128 |          0 |         26 |        154 |
| /home/omar/Documents/ruleIQ/archive/documentation/TEST_HANDOVER.md                                            | Markdown           |        270 |          0 |        116 |        386 |
| /home/omar/Documents/ruleIQ/archive/documentation/TEST_USER_CREDENTIALS.md                                    | Markdown           |         73 |          0 |         27 |        100 |
| /home/omar/Documents/ruleIQ/archive/documentation/The-Final-39-Test-Failures.md                               | Markdown           |        250 |          0 |         51 |        301 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/ALL_DOCUMENTATION.md                             | Markdown           |        111 |          0 |         46 |        157 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/AUTHENTICATION_ISSUE_SUMMARY.md                  | Markdown           |         48 |          0 |         23 |         71 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/BACKEND_FIXES_VALIDATION_REPORT.md               | Markdown           |         97 |          0 |         45 |        142 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/COMPLETED_WORK.md                                | Markdown           |        755 |          0 |        158 |        913 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/COMPLIANCE_TEST_FIX_SUMMARY.md                   | Markdown           |         50 |          0 |         10 |         60 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/CURRENT_STATUS_REPORT.md                         | Markdown           |         33 |          0 |         18 |         51 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/FIXED_TEST_DATABASE_SETUP.md                     | Markdown           |         55 |          0 |         15 |         70 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/FIXES_SUMMARY.md                                 | Markdown           |         76 |          0 |         25 |        101 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/FRONTEND_TEST_ACTION_PLAN.md                     | Markdown           |        213 |          0 |         45 |        258 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/FRONTEND_TEST_HANDOVER.md                        | Markdown           |        213 |          0 |         92 |        305 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/JWT_AUTHENTICATION_FIXED.md                      | Markdown           |         48 |          0 |         18 |         66 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/JWT_FIXED_IDE_SUMMARY.md                         | Markdown           |         28 |          0 |          8 |         36 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/JWT_FIX_REPORT_FOR_IDE.md                        | Markdown           |         92 |          0 |         27 |        119 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/JWT_FIX_SUMMARY.md                               | Markdown           |         75 |          0 |         25 |        100 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/JWT_ISSUE_RESOLVED_SUMMARY.md                    | Markdown           |         29 |          0 |          9 |         38 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/LATEST_ISSUE_REPORT.md                           | Markdown           |         56 |          0 |         30 |         86 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/MEMORY_LEAK_FIX_SUMMARY.md                       | Markdown           |         94 |          0 |         28 |        122 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/PRODUCTION_READINESS_CHECKLIST.md                | Markdown           |        111 |          0 |         49 |        160 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/PROJECT_TASKS.md                                 | Markdown           |        770 |          0 |        225 |        995 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/SECURITY_AUDIT_REPORT.md                         | Markdown           |         38 |          0 |         14 |         52 |
| /home/omar/Documents/ruleIQ/archive/documentation_additional/SECURITY_CHECKLIST_STATUS.md                     | Markdown           |         55 |          0 |         21 |         76 |
